## System ID,Tag Name,Retentive Mode,Initial Value,MODBUS Start Address,MODBUS End Address,Number of Characters,Number of Rows,Number of Columns,Wiring Label,Comment,Forceable,Init Forced,Init Force Value
## 2.0
SWR-000011,"Critical Error Log 11",false,"0",,,,,,,"11th most recent critical error",,,
SWR-000012,"Critical Error Log 12",false,"0",,,,,,,"12th most recent critical error",,,
SWR-000013,"Critical Error Log 13",false,"0",,,,,,,"13th most recent critical error",,,
SWR-000014,"Critical Error Log 14",false,"0",,,,,,,"14th most recent critical error",,,
SWR-000015,"Critical Error Log 15",false,"0",,,,,,,"15th most recent critical error",,,
SWR-000016,"Critical Error Log 16",false,"0",,,,,,,"16th most recent critical error",,,
SWR-000017,"Critical Error Log 17",false,"0",,,,,,,"17th most recent critical error",,,
SWR-000018,"Critical Error Log 18",false,"0",,,,,,,"18th most recent critical error",,,
SWR-000019,"Critical Error Log 19",false,"0",,,,,,,"19th most recent critical error",,,
SWR-000020,"Critical Error Log 20",false,"0",,,,,,,"20th most recent critical error",,,
SSTR-000001,"Critical Error Log String 01",false,,,,50,,,,"Most recent critical error message",,,
SSTR-000002,"Critical Error Log String 02",false,,,,50,,,,"2nd most recent critical error message",,,
SSTR-000003,"Critical Error Log String 03",false,,,,50,,,,"3rd most recent critical error message",,,
SSTR-000004,"Critical Error Log String 04",false,,,,50,,,,"4th most recent critical error message",,,
SSTR-000005,"Critical Error Log String 05",false,,,,50,,,,"5th most recent critical error message",,,
SSTR-000006,"Critical Error Log String 06",false,,,,50,,,,"6th most recent critical error message",,,
SSTR-000007,"Critical Error Log String 07",false,,,,50,,,,"7th most recent critical error message",,,
SSTR-000008,"Critical Error Log String 08",false,,,,50,,,,"8th most recent critical error message",,,
SSTR-000009,"Critical Error Log String 09",false,,,,50,,,,"9th most recent critical error message",,,
SSTR-000010,"Critical Error Log String 10",false,,,,50,,,,"10th most recent critical error message",,,
SSTR-000011,"Critical Error Log String 11",false,,,,50,,,,"11th most recent critical error message",,,
SSTR-000012,"Critical Error Log String 12",false,,,,50,,,,"12th most recent critical error message",,,
SSTR-000013,"Critical Error Log String 13",false,,,,50,,,,"13th most recent critical error message",,,
SSTR-000014,"Critical Error Log String 14",false,,,,50,,,,"14th most recent critical error message",,,
SSTR-000015,"Critical Error Log String 15",false,,,,50,,,,"15th most recent critical error message",,,
SSTR-000016,"Critical Error Log String 16",false,,,,50,,,,"16th most recent critical error message",,,
SSTR-000017,"Critical Error Log String 17",false,,,,50,,,,"17th most recent critical error message",,,
SSTR-000018,"Critical Error Log String 18",false,,,,50,,,,"18th most recent critical error message",,,
SSTR-000019,"Critical Error Log String 19",false,,,,50,,,,"19th most recent critical error message",,,
SSTR-000020,"Critical Error Log String 20",false,,,,50,,,,"20th most recent critical error message",,,
SWR-001510,"Current Critical Error",false,"0",,,,,,,"Current Critical Error number (0 if no active errors present)",,,
SWR-001516,"Current I/O Config Error Base",false,"0",,,,,,,"I/O base in which ""I/O Configuration Error"" occurred",,,
SWR-001515,"Current I/O Config Error Group",false,"0",,,,,,,"I/O group in which ""I/O Configuration Error"" occurred",,,
SWR-001517,"Current I/O Config Error Slot",false,"0",,,,,,,"I/O slot in which ""I/O Configuration Error"" occurred",,,
SWR-001511,"Current Non-critical Error",false,"0",,,,,,,"Current Non-Critical Error number (0 if no active errors present)",,,
C-000147,"Cycle_Complete",false,"0",,,,,,,,false,false,"0"
C-000039,"Cycle_Start",false,"0",,,,,,,,false,false,"0"
DI-0.1.3.1,"DI-0.1.3.1",false,"0",,,,,,,,false,false,"0"
DI-0.1.3.10,"DI-0.1.3.10",false,"0",,,,,,,,false,false,"0"
DI-0.1.3.11,"DI-0.1.3.11",false,"0",,,,,,,,false,false,"0"
DI-0.1.3.12,"DI-0.1.3.12",false,"0",,,,,,,,false,false,"0"
DI-0.1.3.13,"DI-0.1.3.13",false,"0",,,,,,,,false,false,"0"
DI-0.1.3.14,"DI-0.1.3.14",false,"0",,,,,,,,false,false,"0"
DI-0.1.3.15,"DI-0.1.3.15",false,"0",,,,,,,,false,false,"0"
DI-0.1.3.16,"DI-0.1.3.16",false,"0",,,,,,,,false,false,"0"
DI-0.1.3.2,"DI-0.1.3.2",false,"0",,,,,,,,false,false,"0"
DI-0.1.3.3,"DI-0.1.3.3",false,"0",,,,,,,,false,false,"0"
DI-0.1.3.4,"DI-0.1.3.4",false,"0",,,,,,,,false,false,"0"
DI-0.1.3.5,"DI-0.1.3.5",false,"0",,,,,,,,false,false,"0"
DI-0.1.3.6,"DI-0.1.3.6",false,"0",,,,,,,,false,false,"0"
DI-0.1.3.7,"DI-0.1.3.7",false,"0",,,,,,,,false,false,"0"
DI-0.1.3.8,"DI-0.1.3.8",false,"0",,,,,,,,false,false,"0"
DI-0.1.3.9,"DI-0.1.3.9",false,"0",,,,,,,,false,false,"0"
DO-0.1.1.1,"DO-0.1.1.1",false,"0",,,,,,,,false,false,"0"
DO-0.1.1.10,"DO-0.1.1.10",false,"0",,,,,,,,false,false,"0"
DO-0.1.1.11,"DO-0.1.1.11",false,"0",,,,,,,,false,false,"0"
DO-0.1.1.12,"DO-0.1.1.12",false,"0",,,,,,,,false,false,"0"
DO-0.1.1.13,"DO-0.1.1.13",false,"0",,,,,,,,false,false,"0"
DO-0.1.1.14,"DO-0.1.1.14",false,"0",,,,,,,,false,false,"0"
DO-0.1.1.15,"DO-0.1.1.15",false,"0",,,,,,,,false,false,"0"
DO-0.1.1.2,"DO-0.1.1.2",false,"0",,,,,,,,false,false,"0"
DO-0.1.1.3,"DO-0.1.1.3",false,"0",,,,,,,,false,false,"0"
DO-0.1.1.4,"DO-0.1.1.4",false,"0",,,,,,,,false,false,"0"
DO-0.1.1.5,"DO-0.1.1.5",false,"0",,,,,,,,false,false,"0"
DO-0.1.1.6,"DO-0.1.1.6",false,"0",,,,,,,,false,false,"0"
DO-0.1.1.7,"DO-0.1.1.7",false,"0",,,,,,,,false,false,"0"
DO-0.1.1.8,"DO-0.1.1.8",false,"0",,,,,,,,false,false,"0"
DO-0.1.1.9,"DO-0.1.1.9",false,"0",,,,,,,,false,false,"0"
DO-0.1.2.1,"DO-0.1.2.1",false,"0",,,,,,,,false,false,"0"
DO-0.1.2.10,"DO-0.1.2.10",false,"0",,,,,,,,false,false,"0"
DO-0.1.2.11,"DO-0.1.2.11",false,"0",,,,,,,,false,false,"0"
DO-0.1.2.12,"DO-0.1.2.12",false,"0",,,,,,,,false,false,"0"
DO-0.1.2.13,"DO-0.1.2.13",false,"0",,,,,,,,false,false,"0"
DO-0.1.2.14,"DO-0.1.2.14",false,"0",,,,,,,,false,false,"0"
DO-0.1.2.15,"DO-0.1.2.15",false,"0",,,,,,,,false,false,"0"
DO-0.1.2.2,"DO-0.1.2.2",false,"0",,,,,,,,false,false,"0"
DO-0.1.2.3,"DO-0.1.2.3",false,"0",,,,,,,,false,false,"0"
DO-0.1.2.4,"DO-0.1.2.4",false,"0",,,,,,,,false,false,"0"
DO-0.1.2.5,"DO-0.1.2.5",false,"0",,,,,,,,false,false,"0"
DO-0.1.2.6,"DO-0.1.2.6",false,"0",,,,,,,,false,false,"0"
DO-0.1.2.7,"DO-0.1.2.7",false,"0",,,,,,,,false,false,"0"
DO-0.1.2.8,"DO-0.1.2.8",false,"0",,,,,,,,false,false,"0"
DO-0.1.2.9,"DO-0.1.2.9",false,"0",,,,,,,,false,false,"0"
C-000010,"Dummy",false,"0",,,,,,,,false,false,"0"
C-000207,"ESTOP",false,"0",,,,,,,,false,false,"0"
C-000006,"Emergency_Stop",false,"0",,,,,,,,false,false,"0"
C-000009,"Emergency_Stop_HMI",false,"0",,,,,,,,false,false,"0"
C-000007,"Emergency_Stop_Switch",false,"0",,,,,,,,false,false,"0"
C-000011,"Enclosure_Fans",false,"0",,,,,,,,false,false,"0"
C-000149,"Enclosure_Fans_Disabled",false,"0",,,,,,,,false,false,"0"
C-000012,"Enclosure_Lights",false,"0",,,,,,,,false,false,"0"
SWR-001526,"Ethernet Speed [External]",false,"0",,,,,,,"""Ethernet"" port speed (Ethernet 10 or 100)",,,
SWR-001527,"Ethernet Speed [Internal]",false,"0",,,,,,,"""Remote I/O"" port speed (Ethernet 10 or 100)",,,
SBR-001004,"Every Other Scan Bit",false,"0",,,,,,,"Toggles at the start of each scan",,,
STR-000011,"Fanuc.AdapterName",false,,,,16,,,,,,,
C-000153,"Fanuc.Msg1ConnOnline",false,"0",,,,,,,,false,false,"0"
C-000152,"Fanuc.Msg1Enable",false,"0",,,,,,,,false,false,"0"
S32-000012,"Fanuc.Msg1GenStatus",false,"0",,,,,,,,false,false,"0"
C-000154,"Fanuc.Msg1RunIdleStatus",false,"0",,,,,,,,false,false,"0"
STR-000013,"Fanuc.Msg1StatusDesc",false,,,,40,,,,,,,
C-000156,"Fanuc.Msg2ConnOnline",false,"0",,,,,,,,false,false,"0"
C-000155,"Fanuc.Msg2Enable",false,"0",,,,,,,,false,false,"0"
S32-000013,"Fanuc.Msg2GenStatus",false,"0",,,,,,,,false,false,"0"
C-000157,"Fanuc.Msg2RunIdleStatus",false,"0",,,,,,,,false,false,"0"
STR-000014,"Fanuc.Msg2StatusDesc",false,,,,32,,,,,,,
C-000159,"Fanuc.Msg3ConnOnline",false,"0",,,,,,,,false,false,"0"
C-000158,"Fanuc.Msg3Enable",false,"0",,,,,,,,false,false,"0"
S32-000014,"Fanuc.Msg3GenStatus",false,"0",,,,,,,,false,false,"0"
C-000160,"Fanuc.Msg3RunIdleStatus",false,"0",,,,,,,,false,false,"0"
STR-000015,"Fanuc.Msg3StatusDesc",false,,,,32,,,,,,,
C-000162,"Fanuc.Msg4ConnOnline",false,"0",,,,,,,,false,false,"0"
C-000161,"Fanuc.Msg4Enable",false,"0",,,,,,,,false,false,"0"
S32-000015,"Fanuc.Msg4GenStatus",false,"0",,,,,,,,false,false,"0"
C-000163,"Fanuc.Msg4RunIdleStatus",false,"0",,,,,,,,false,false,"0"
STR-000016,"Fanuc.Msg4StatusDesc",false,,,,32,,,,,,,
C-000165,"Fanuc.Msg5ConnOnline",false,"0",,,,,,,,false,false,"0"
C-000164,"Fanuc.Msg5Enable",false,"0",,,,,,,,false,false,"0"
S32-000016,"Fanuc.Msg5GenStatus",false,"0",,,,,,,,false,false,"0"
C-000166,"Fanuc.Msg5RunIdleStatus",false,"0",,,,,,,,false,false,"0"
STR-000017,"Fanuc.Msg5StatusDesc",false,,,,32,,,,,,,
C-000168,"Fanuc.Msg6ConnOnline",false,"0",,,,,,,,false,false,"0"
C-000167,"Fanuc.Msg6Enable",false,"0",,,,,,,,false,false,"0"
S32-000017,"Fanuc.Msg6GenStatus",false,"0",,,,,,,,false,false,"0"
C-000169,"Fanuc.Msg6RunIdleStatus",false,"0",,,,,,,,false,false,"0"
STR-000018,"Fanuc.Msg6StatusDesc",false,,,,32,,,,,,,
C-000171,"Fanuc.Msg7ConnOnline",false,"0",,,,,,,,false,false,"0"
C-000170,"Fanuc.Msg7Enable",false,"0",,,,,,,,false,false,"0"
S32-000018,"Fanuc.Msg7GenStatus",false,"0",,,,,,,,false,false,"0"
C-000172,"Fanuc.Msg7RunIdleStatus",false,"0",,,,,,,,false,false,"0"
STR-000019,"Fanuc.Msg7StatusDesc",false,,,,32,,,,,,,
C-000174,"Fanuc.Msg8ConnOnline",false,"0",,,,,,,,false,false,"0"
C-000173,"Fanuc.Msg8Enable",false,"0",,,,,,,,false,false,"0"
S32-000019,"Fanuc.Msg8GenStatus",false,"0",,,,,,,,false,false,"0"
C-000175,"Fanuc.Msg8RunIdleStatus",false,"0",,,,,,,,false,false,"0"
STR-000020,"Fanuc.Msg8StatusDesc",false,,,,32,,,,,,,
C-000151,"Fanuc.TCPConnected",false,"0",,,,,,,,false,false,"0"
STR-000012,"Fanuc.TcpIpError",false,,,,32,,,,,,,
S32-000011,"Fanuc.VendorID",false,"0",,,,,,,,false,false,"0"
SWR-001509,"Firmware Version",false,"0",,,,,,,"CPU Firmware Version Number in Hex (ex: 0x0102 is version 01.02 or 1.2)",,,
SSTR-000104,"Firmware Version[CPU]",false,,,,50,,,,"CPU firmware version viewed as 001.000.009.023",,,
SWR-001528,"Firmware Version[major]",false,"0",,,,,,,"CPU firmware Major version number in hex. (ex:  0x0100 =  major version 1.0)",,,
SWR-001529,"Firmware Version[minor]",false,"0",,,,,,,"CPU firmware Minor version number in hex. (ex: 0x0917 = minor version 9.23)",,,
SBR-001003,"First Scan Bit",false,"0",,,,,,,"Active during first scan in Run or Debug mode",,,
SWR-001530,"First Scan Interval [x100=usec]",false,"0",,,,,,,"Holds the value of the First Scan time",,,
F32-000002,"Fixture_Len_raw",false,"0.0",,,,,,,,false,false,"0.0"
C-000204,"Foot_Petal",false,"0",,,,,,,,false,false,"0"
SBR-001007,"Forces Enabled",false,"0",,,,,,,"Active if any forces are enabled",,,
C-000028,"Forge_Auto_HMI",false,"0",,,,,,,,false,false,"0"
C-000022,"Forge_Auto_Mode",false,"0",,,,,,,,false,false,"0"
C-000208,"Forge_ESTOP",false,"0",,,,,,,,false,false,"0"
C-000209,"Forge_In_Manual",false,"0",,,,,,,,false,false,"0"
C-000020,"Forge_Manual_Mode",false,"0",,,,,,,,false,false,"0"
C-000187,"Forge_OK",false,"0",,,,,,,,false,false,"0"
C-000029,"Forge_Running",false,"0",,,,,,,,false,false,"0"
C-000182,"Forward_Inch_Run",false,"0",,,,,,,,false,false,"0"
C-000195,"Forward_Inch_Run_HMI",false,"0",,,,,,,,false,false,"0"
C-000188,"Furnace_1_OK",false,"0",,,,,,,,false,false,"0"
C-000189,"Furnace_2_OK",false,"0",,,,,,,,false,false,"0"
F32-000013,"Furnace_Setpoint",true,"100.0",,,,,,,,false,false,"0.0"
C-000210,"GC_Tripped",false,"0",,,,,,,,false,false,"0"
C-000080,"Grinder_Alignment_Extend_OUT",false,"0",,,,,,,,false,false,"0"
C-000058,"Grinder_Alignment_Extended",false,"0",,,,,,,,false,false,"0"
C-000108,"Grinder_Alignment_Fault_Reset",false,"0",,,,,,,,false,false,"0"
C-000067,"Grinder_Alignment_Retracted",false,"0",,,,,,,,false,false,"0"
C-000068,"Grinder_Escapement_Closed",false,"0",,,,,,,,false,false,"0"
C-000109,"Grinder_Escapement_Fault_Reset",false,"0",,,,,,,,false,false,"0"
C-000104,"Grinder_Escapement_Faulted",false,"0",,,,,,,,false,false,"0"
C-000146,"Grinder_Machine_Start",false,"0",,,,,,,,false,false,"0"
C-000082,"HS_AS1_Extended",false,"0",,,,,,,,false,false,"0"
C-000105,"HS_AS1_Faulted",false,"0",,,,,,,,false,false,"0"
C-000083,"HS_AS1_Retracted",false,"0",,,,,,,,false,false,"0"
C-000084,"HS_AS2_Extended",false,"0",,,,,,,,false,false,"0"
C-000085,"HS_AS2_Retracted",false,"0",,,,,,,,false,false,"0"
C-000086,"HS_Escapement_Closed",false,"0",,,,,,,,false,false,"0"
C-000111,"HS_Escapement_Fault_Reset",false,"0",,,,,,,,false,false,"0"
C-000087,"HS_Escapement_Opened",false,"0",,,,,,,,false,false,"0"
C-000102,"HS_OK_to_start",false,"0",,,,,,,,false,false,"0"
C-000076,"HS_Power_On",false,"0",,,,,,,,false,false,"0"
S16-000001,"Half_Second_acc",false,"0",,,,,,,,false,false,"0"
C-000023,"Half_Second_dn",false,"0",,,,,,,,false,false,"0"
S16-000033,"Head_Type",false,"0",,,,,,,,false,false,"0"
US16-000001,"Head_Type_1",true,"0",,,,,,,,false,false,"0"
US16-000004,"Head_Type_2",true,"0",,,,,,,,false,false,"0"
US16-000007,"Head_Type_3",true,"0",,,,,,,,false,false,"0"
US16-000010,"Head_Type_4",true,"0",,,,,,,,false,false,"0"
F32-000003,"Horiz_Spacing",false,"0.0",,,,,,,,false,false,"0.0"
SBR-001015,"I/O Configuration Error",false,"0",,,,,,,"Active if actual I/O configuration and project I/O configuration do not match",,,
SBR-001014,"I/O Error",false,"0",,,,,,,"Active for any module error (such as a blown fuse)",,,
C-000030,"IAI_Fault_Reset_HMI",false,"0",,,,,,,,false,false,"0"
AR1US8-000001(1),"IAI_Outputs(1)",FALSE,"0",,,,,256,,,,,
AR1US8-000001(2),"IAI_Outputs(2)",FALSE,"0",,,,,,,,,,
AR1US8-000001(3),"IAI_Outputs(3)",FALSE,"0",,,,,,,,,,
AR1US8-000001(4),"IAI_Outputs(4)",FALSE,"0",,,,,,,,,,
AR1US8-000001(5),"IAI_Outputs(5)",FALSE,"0",,,,,,,,,,
AR1US8-000001(6),"IAI_Outputs(6)",FALSE,"0",,,,,,,,,,
AR1US8-000001(7),"IAI_Outputs(7)",FALSE,"0",,,,,,,,,,
AR1US8-000001(8),"IAI_Outputs(8)",FALSE,"0",,,,,,,,,,
AR1US8-000001(9),"IAI_Outputs(9)",FALSE,"0",,,,,,,,,,
AR1US8-000001(10),"IAI_Outputs(10)",FALSE,"0",,,,,,,,,,
AR1US8-000001(11),"IAI_Outputs(11)",FALSE,"0",,,,,,,,,,
AR1US8-000001(12),"IAI_Outputs(12)",FALSE,"0",,,,,,,,,,
AR1US8-000001(13),"IAI_Outputs(13)",FALSE,"0",,,,,,,,,,
AR1US8-000001(14),"IAI_Outputs(14)",FALSE,"0",,,,,,,,,,
AR1US8-000001(15),"IAI_Outputs(15)",FALSE,"0",,,,,,,,,,
AR1US8-000001(16),"IAI_Outputs(16)",FALSE,"0",,,,,,,,,,
AR1US8-000001(17),"IAI_Outputs(17)",FALSE,"0",,,,,,,,,,
AR1US8-000001(18),"IAI_Outputs(18)",FALSE,"0",,,,,,,,,,
AR1US8-000001(19),"IAI_Outputs(19)",FALSE,"0",,,,,,,,,,
AR1US8-000001(20),"IAI_Outputs(20)",FALSE,"0",,,,,,,,,,
AR1US8-000001(21),"IAI_Outputs(21)",FALSE,"0",,,,,,,,,,
AR1US8-000001(22),"IAI_Outputs(22)",FALSE,"0",,,,,,,,,,
AR1US8-000001(23),"IAI_Outputs(23)",FALSE,"0",,,,,,,,,,
AR1US8-000001(24),"IAI_Outputs(24)",FALSE,"0",,,,,,,,,,
AR1US8-000001(25),"IAI_Outputs(25)",FALSE,"0",,,,,,,,,,
AR1US8-000001(26),"IAI_Outputs(26)",FALSE,"0",,,,,,,,,,
AR1US8-000001(27),"IAI_Outputs(27)",FALSE,"0",,,,,,,,,,
AR1US8-000001(28),"IAI_Outputs(28)",FALSE,"0",,,,,,,,,,
AR1US8-000001(29),"IAI_Outputs(29)",FALSE,"0",,,,,,,,,,
AR1US8-000001(30),"IAI_Outputs(30)",FALSE,"0",,,,,,,,,,
AR1US8-000001(31),"IAI_Outputs(31)",FALSE,"0",,,,,,,,,,
AR1US8-000001(32),"IAI_Outputs(32)",FALSE,"0",,,,,,,,,,
AR1US8-000001(33),"IAI_Outputs(33)",FALSE,"0",,,,,,,,,,
AR1US8-000001(34),"IAI_Outputs(34)",FALSE,"0",,,,,,,,,,
AR1US8-000001(35),"IAI_Outputs(35)",FALSE,"0",,,,,,,,,,
AR1US8-000001(36),"IAI_Outputs(36)",FALSE,"0",,,,,,,,,,
AR1US8-000001(37),"IAI_Outputs(37)",FALSE,"0",,,,,,,,,,
AR1US8-000001(38),"IAI_Outputs(38)",FALSE,"0",,,,,,,,,,
AR1US8-000001(39),"IAI_Outputs(39)",FALSE,"0",,,,,,,,,,
AR1US8-000001(40),"IAI_Outputs(40)",FALSE,"0",,,,,,,,,,
AR1US8-000001(41),"IAI_Outputs(41)",FALSE,"0",,,,,,,,,,
AR1US8-000001(42),"IAI_Outputs(42)",FALSE,"0",,,,,,,,,,
AR1US8-000001(43),"IAI_Outputs(43)",FALSE,"0",,,,,,,,,,
AR1US8-000001(44),"IAI_Outputs(44)",FALSE,"0",,,,,,,,,,
AR1US8-000001(45),"IAI_Outputs(45)",FALSE,"0",,,,,,,,,,
AR1US8-000001(46),"IAI_Outputs(46)",FALSE,"0",,,,,,,,,,
